"module"	"tf"	"color"	"odds_ratio"	"pval"	"fdr"	"Significance"	"Jaccard"	"size_intersection"
"KLF5"	"yellow"	"KLF5"	"yellow"	4.87322419149362	1.69585923963723e-26	2.78046372037225e-25	"***"	0.0111378205128205	139
"Arid3b"	"yellow"	"Arid3b"	"yellow"	1.47488406238395	0.0174222684025853	0.0251069135125472	"*"	0.00709562973713917	44
"Arid5a"	"yellow"	"Arid5a"	"yellow"	1.40982264585843	0.0450832933785443	0.0596065538450713	""	0.00688298918387414	35
"Arntl"	"yellow"	"Arntl"	"yellow"	1.61052697024351	0.0484440579098847	0.06368453456723	""	0.00761307657859382	17
"Atf1"	"yellow"	"Atf1"	"yellow"	0.802859259149843	0.721266961173291	0.744555101063572	" "	0.00337078651685393	3
"NFAT5"	"yellow"	"NFAT5"	"yellow"	1.81972259283233	0.000224792139146636	0.000452211062840604	"***"	0.00825949842318667	55
"Bhlha15"	"yellow"	"Bhlha15"	"yellow"	0.974182258473696	0.576949917778103	0.606152641829208	" "	0.00481734243275793	12
"Creb3l2"	"yellow"	"Creb3l2"	"yellow"	1.24251431318644	0.275358965442339	0.309329933558223	" "	0.00594059405940594	12
"DMRT3"	"yellow"	"DMRT3"	"yellow"	2.05031141204363	0.000505852542095368	0.000968548939682342	"***"	0.0094859241126071	31
"Dux"	"yellow"	"Dux"	"yellow"	1.03082917370833	0.489639681982048	0.521319509170229	" "	0.00517976843388178	17
"FOXG1"	"yellow"	"FOXG1"	"yellow"	1.449717464686	0.0391426131746369	0.0523460820345607	""	0.0070531188009698	32
"Foxj2"	"yellow"	"Foxj2"	"yellow"	1.449717464686	0.0391426131746369	0.0523460820345607	""	0.0070531188009698	32
"Gmeb1"	"yellow"	"Gmeb1"	"yellow"	1.90132627230716	0.13144624586255	0.158415023285076	" "	0.00722543352601156	5
"LBX1"	"yellow"	"LBX1"	"yellow"	1.46115648258766	0.0512437992144003	0.0671646399073663	""	0.0070980070980071	26
"LIN54"	"yellow"	"LIN54"	"yellow"	1.87006864964134	8.62260462246362e-05	0.000184399322934291	"***"	0.00836879432624114	59
"mix-a"	"yellow"	"mix-a"	"yellow"	1.01320210543786	0.511730858780439	0.542645658351397	" "	0.00515970515970516	21
"Mlxip"	"yellow"	"Mlxip"	"yellow"	0.995822051639094	0.552647641420902	0.582995720716464	" "	0.00478214665249734	9
"NFATC1"	"yellow"	"NFATC1"	"yellow"	1.65331149822381	0.00262420485807625	0.00448832286769174	"**"	0.00775449595776275	47
"NFATC3"	"yellow"	"NFATC3"	"yellow"	1.6330299820224	0.0037026428279987	0.00614954704939598	"**"	0.0076988879384089	45
"Npas2"	"yellow"	"Npas2"	"yellow"	2.05813994266286	0.00203168043004942	0.00354396009544084	"**"	0.00951986754966887	23
"POU6F1"	"yellow"	"POU6F1"	"yellow"	1.35946414788384	0.151768363483458	0.180141923880127	" "	0.00655469070053257	16
"Rhox11"	"yellow"	"Rhox11"	"yellow"	2.5420551245794	1.86644858980191e-05	4.38082007758435e-05	"***"	0.0114285714285714	30
"SHOX"	"yellow"	"SHOX"	"yellow"	1.51924074015954	0.0566418738068449	0.0734866745389674	""	0.00729394602479942	20
"Six3"	"yellow"	"Six3"	"yellow"	1.27593911960754	0.175523964930275	0.20518288509478	" "	0.0062855432505238	21
"Twist2"	"yellow"	"Twist2"	"yellow"	0.796742336451598	0.806298982561155	0.825856806852112	" "	0.00402046783625731	11
"ALX3"	"yellow"	"ALX3"	"yellow"	1.56050890060143	0.0278229540477982	0.0383776709762542	"*"	0.00751010976314269	26
"Ar"	"yellow"	"Ar"	"yellow"	1.17973936900857	0.332558447316125	0.366272541876716	" "	0.00568181818181818	12
"BARHL2"	"yellow"	"BARHL2"	"yellow"	2.2521835100799	0.00286155568790828	0.00486453598901537	"**"	0.0101431980906921	17
"BHLHE41"	"yellow"	"BHLHE41"	"yellow"	1.71822937046495	0.0509264538990772	0.0667682506304246	""	0.00788834951456311	13
"CENPB"	"yellow"	"CENPB"	"yellow"	1.86970540334302	0.0424033548174141	0.0563866358178091	""	0.00831443688586546	11
"CREB3"	"yellow"	"CREB3"	"yellow"	1.49145301956156	0.135821753960611	0.163304293493005	" "	0.00688360450563204	11
"DBP"	"yellow"	"DBP"	"yellow"	1.56075574814981	0.109724984130239	0.134519043814557	" "	0.00715214564369311	11
"ELF4"	"yellow"	"ELF4"	"yellow"	1.5580543537523	0.0241571962752707	0.0337476936729437	"*"	0.007502679528403	28
"ELF5"	"yellow"	"ELF5"	"yellow"	1.57840909301223	0.013268882067205	0.0196335590521684	"*"	0.00757069694945446	34
"EN1"	"yellow"	"EN1"	"yellow"	1.95549590280847	0.0150668621552128	0.02207504910204	"*"	0.0089126559714795	15
"EN2"	"yellow"	"EN2"	"yellow"	2.70639655401277	0.00015603074963194	0.000321697346335157	"***"	0.0119760479041916	20
"Esrrg"	"yellow"	"Esrrg"	"yellow"	1.3214255627928	0.104082387454706	0.1280704217326	" "	0.00652271704903284	29
"ESX1"	"yellow"	"ESX1"	"yellow"	1.76503482996885	0.014242326206256	0.0209630556064459	"*"	0.00831683168316832	21
"ETV6"	"yellow"	"ETV6"	"yellow"	1.08559263101595	0.386099962274213	0.419258474318141	" "	0.00550080220032088	24
"FLI1"	"yellow"	"FLI1"	"yellow"	1.16413989607878	0.317981316844545	0.351032647908878	" "	0.00573271228950197	16
"FOXI1"	"yellow"	"FOXI1"	"yellow"	1.73744335911946	0.00341839443900691	0.00571562701120469	"**"	0.00820440693858415	35
"FOXL1"	"yellow"	"FOXL1"	"yellow"	1.73744335911946	0.00341839443900691	0.00571562701120469	"**"	0.00820440693858415	35
"FOXO3"	"yellow"	"FOXO3"	"yellow"	1.48070844836614	0.0485894872772635	0.0638352054749138	""	0.00717566016073479	25
"GCM1"	"yellow"	"GCM1"	"yellow"	1.24035432487502	0.288062392957596	0.321939393477703	" "	0.00588550026752274	11
"GRHL1"	"yellow"	"GRHL1"	"yellow"	1.24991733577658	0.25896556732887	0.293005530678469	" "	0.00601017105871475	13
"GSC"	"yellow"	"GSC"	"yellow"	1.87303100946551	0.0109150229272265	0.0164331122173783	"*"	0.00871959614502065	19
"HEY2"	"yellow"	"HEY2"	"yellow"	1.88032657723476	0.00898871140902331	0.0137456345291385	"*"	0.00876808417360807	20
"HINFP"	"yellow"	"HINFP"	"yellow"	2.29120413133577	0.000133959972435934	0.000279275657486372	"***"	0.0104542177361211	29
"HNF1A"	"yellow"	"HNF1A"	"yellow"	2.21034858104293	1.42608775801349e-06	3.87093317457149e-06	"***"	0.00959153299156607	58
"HNF1B"	"yellow"	"HNF1B"	"yellow"	1.47681553298725	0.0386161393808407	0.0517502514576775	""	0.00716757291151755	29
"HOXC11"	"yellow"	"HOXC11"	"yellow"	1.52166342936464	0.112358732925278	0.13737167128477	" "	0.00706297822248381	12
"HSF1"	"yellow"	"HSF1"	"yellow"	2.14012599320527	0.000103532525006844	0.00021941836265655	"***"	0.00978792822185971	36
"IRF8"	"yellow"	"IRF8"	"yellow"	1.52589679376851	0.0320690999620642	0.0437492506644923	"*"	0.00736899563318777	27
"IRF9"	"yellow"	"IRF9"	"yellow"	2.18905888703714	3.83223048157268e-06	9.84676442911558e-06	"***"	0.00963986904328847	53
"ISX"	"yellow"	"ISX"	"yellow"	1.07561549981342	0.441403062266601	0.474021138844843	" "	0.00528025995125914	13
"JDP2"	"yellow"	"JDP2"	"yellow"	1.6384448226204	0.0228415172748928	0.0320597777743556	"*"	0.00781781101291638	23
"JDP2(var.2)"	"yellow"	"JDP2(var.2)"	"yellow"	1.64207482574462	0.0421093240269283	0.0560122836090732	""	0.00774134790528233	17
"KLF13"	"yellow"	"KLF13"	"yellow"	1.87987474368768	0.0018004803257572	0.00317406456797528	"**"	0.00880431695541039	31
"LHX6"	"yellow"	"LHX6"	"yellow"	1.2794320728221	0.235087118487628	0.267884404875413	" "	0.00613207547169811	13
"MEF2B"	"yellow"	"MEF2B"	"yellow"	1.9229932296314	1.12769892488591e-05	2.72989745148151e-05	"***"	0.00819760543630676	76
"MEOX1"	"yellow"	"MEOX1"	"yellow"	1.18313448320979	0.3121886316613	0.345538159079124	" "	0.00576368876080692	14
"MIXL1"	"yellow"	"MIXL1"	"yellow"	1.28849661795241	0.171658611450691	0.201084518412272	" "	0.00632711167352104	20
"MLX"	"yellow"	"MLX"	"yellow"	1.46965245667464	0.145211828749208	0.173142013006952	" "	0.00679851668726823	11
"MLXIPL"	"yellow"	"MLXIPL"	"yellow"	1.01520794327027	0.538001143403592	0.569273404915717	" "	0.00472016183412003	7
"MSC"	"yellow"	"MSC"	"yellow"	2.83915821203715	1.02503538480151e-08	3.58162246867414e-08	"***"	0.0121518987341772	48
"MSX1"	"yellow"	"MSX1"	"yellow"	1.7906503066498	0.0163479905518103	0.0237644328480152	"*"	0.00838852097130243	19
"MYF6"	"yellow"	"MYF6"	"yellow"	1.98636506394329	0.00112097188614214	0.00204294387718739	"**"	0.00924155513065647	29
"NEUROD2"	"yellow"	"NEUROD2"	"yellow"	0.453338015576295	0.959039182935109	0.96551043248258	" "	0.00213068181818182	3
"NEUROG2"	"yellow"	"NEUROG2"	"yellow"	0.999572143831927	0.548334712981935	0.578718739756458	" "	0.00479744136460554	9
"NFIA"	"yellow"	"NFIA"	"yellow"	1.77680766000144	0.00490658576940329	0.00792847577756286	"**"	0.00839606253618993	29
"NFIX"	"yellow"	"NFIX"	"yellow"	2.16719297447474	0.000175471545888941	0.000359126949885184	"***"	0.00994097545821684	32
"NHLH1"	"yellow"	"NHLH1"	"yellow"	2.3289317759931	1.31769782552678e-06	3.59845459724192e-06	"***"	0.0102249488752556	50
"NKX2-3"	"yellow"	"NKX2-3"	"yellow"	1.58875212470453	0.0277402379949666	0.0382753715368281	"*"	0.00761904761904762	24
"NKX2-8"	"yellow"	"NKX2-8"	"yellow"	1.63347251643926	0.0160232108006203	0.0233463188618413	"*"	0.0078125	27
"NKX6-1"	"yellow"	"NKX6-1"	"yellow"	1.03702252209493	0.482757679648544	0.514359289242295	" "	0.00518806744487678	16
"NKX6-2"	"yellow"	"NKX6-2"	"yellow"	0.94893380232965	0.615245123523234	0.641920086920745	" "	0.00478621569878749	15
"Nr2e1"	"yellow"	"Nr2e1"	"yellow"	1.58420761081108	0.00884139723179693	0.0135667103220854	"*"	0.00756253635834788	39
"Nr2f6"	"yellow"	"Nr2f6"	"yellow"	2.04061178822732	7.13810246490045e-05	0.000154572552650674	"***"	0.00927487352445194	44
"OLIG2"	"yellow"	"OLIG2"	"yellow"	0.111726818860753	0.999846085384497	1	" "	0.000555247084952804	1
"PAX4"	"yellow"	"PAX4"	"yellow"	1.07146621460225	0.468482208252811	0.500579222759508	" "	0.00509049773755656	9
"PAX7"	"yellow"	"PAX7"	"yellow"	0.800975390053439	0.785109889805773	0.805813315012758	" "	0.00396650506831203	9
"POU4F2"	"yellow"	"POU4F2"	"yellow"	1.70876129076976	0.00117760233572115	0.00213918346375319	"**"	0.00792644261255548	50
"Rxra"	"yellow"	"Rxra"	"yellow"	1.82806079778735	0.00128385956088709	0.00231715943327847	"**"	0.00854700854700855	37
"SP4"	"yellow"	"SP4"	"yellow"	2.84548129608003	1.17042053543262e-12	6.53217246458405e-12	"***"	0.0102530541012216	94
"SPDEF"	"yellow"	"SPDEF"	"yellow"	1.87560062037979	0.0148656772978253	0.0218016944905196	"*"	0.00867789688616641	17
"SPIC"	"yellow"	"SPIC"	"yellow"	1.77354738892975	0.000355842789124943	0.000693707458241832	"***"	0.00807614652437266	56
"SRF"	"yellow"	"SRF"	"yellow"	1.98289346357119	0.00766404891895859	0.0119236298092661	"*"	0.0091324200913242	18
"TBXT"	"yellow"	"TBXT"	"yellow"	1.52483613184752	0.111187344172016	0.136125424648234	" "	0.00707547169811321	12
"TBX2"	"yellow"	"TBX2"	"yellow"	1.72146910754474	0.00430269637347149	0.00703391854187669	"**"	0.00814761562425114	34
"TBX20"	"yellow"	"TBX20"	"yellow"	2.26055869302754	9.67883374843101e-06	2.37904776814812e-05	"***"	0.0101319509896324	43
