"gene_name"	"module"	"color"	"kME_green"	"kME_brown"	"kME_red"	"kME_black"	"kME_blue"	"kME_grey"	"kME_turquoise"	"kME_yellow"	"kME_pink"
"OTUD3"	"OTUD3"	"grey"	"grey"	0.0693044385931594	0.0842072614771168	0.015609027943986	0.0309732828223643	0.0159973954001344	-0.00530259598425732	0.0251734095046103	0.0371081208370412	0.00407117899937861
"CAMK2N1"	"CAMK2N1"	"turquoise"	"turquoise"	-0.0221891099894552	-0.0279503310760001	-0.0218046027969257	-0.0279842744523268	-0.0587548964180544	0.104823759310369	0.132071641692127	0.0456271493211264	0.0833466908719047
"DDOST"	"DDOST"	"grey"	"grey"	0.0408026270480757	0.0262120997381044	-0.0184394810549229	-0.0157353129156337	-0.0425616883519654	0.0383105812560045	0.0386388763856292	-0.00825639035202203	-0.000930521652997354
"HP1BP3"	"HP1BP3"	"grey"	"grey"	0.0811616860523041	0.129026350905017	0.0255408878797039	0.0585071304652156	0.0467465673629607	0.139631609307473	0.149312444157621	0.0747974036431136	0.0618454461077282
"EIF4G3"	"EIF4G3"	"grey"	"grey"	-0.0134418825576941	0.0366152366131793	-0.0295714720378984	0.0963750651124322	0.0515076778175641	-0.15613614743612	-0.107107183883246	-0.0354445433811386	-0.0285649027561137
"ECE1"	"ECE1"	"pink"	"pink"	-0.00157096158839978	-0.0118580035703395	-0.0157004983390314	-0.0087968585408839	-0.0253622012045223	0.151666564481214	0.181237155124579	0.13388791667313	0.22746387924254
"NBPF3"	"NBPF3"	"grey"	"grey"	0.0268456766448301	0.0436127369173037	0.0148317556461482	0.0441241203742898	0.0456222448248915	0.0367816576291205	0.0315514027751851	0.0610348230474504	0.0285654057768413
"RAP1GAP"	"RAP1GAP"	"turquoise"	"turquoise"	0.00390591978059135	-0.0118385081950447	-0.0362213954935591	-0.0190790161875772	-0.0597401324491873	0.237075506458872	0.205272017757301	0.0875799024534637	0.11725796861602
"USP48"	"USP48"	"turquoise"	"turquoise"	0.120155475653195	0.146030167816136	-0.000838809454197038	0.0661617284043733	-0.0136061888274495	0.123107836595989	0.242427641701653	0.0743546312568952	0.0948739288283615
"CDC42"	"CDC42"	"grey"	"grey"	0.11061619078781	0.141088347785362	0.0210875548896816	0.072676238727949	0.0311544128501115	0.064156852626643	0.121630977480516	0.0360750043216914	0.0291600363750488
"WNT4"	"WNT4"	"grey"	"grey"	0.0204286501101484	0.0127572489287634	-0.000600287042054385	0.0308443930354753	0.0281377132135608	0.010492985463377	0.0846819165625495	0.0965943568922206	0.0961665987648346
"ZBTB40"	"ZBTB40"	"grey"	"grey"	0.0500177683378069	0.0869619424055564	0.0216116356871816	0.0583210284133439	0.04361731696258	0.0867456859429505	0.0818814579098966	0.0308468789778496	0.0150746899363898
"EPHB2"	"EPHB2"	"grey"	"grey"	0.00395399897854758	-0.00226109324393956	0.0242339829352941	-0.0240303319387153	0.0103716237596546	0.194072170074261	0.0788844906592645	0.0498295224453682	0.0393351999272517
"KDM1A"	"KDM1A"	"brown"	"brown"	0.20587541304637	0.248078666580463	0.0126078472010335	0.0807624544274865	-0.00170649753166577	0.152108517824852	0.204675573498039	0.0204275517714926	0.0132470416411583
"AL031428.1"	"AL031428.1"	"brown"	"brown"	0.0634185457646579	0.0986542369316432	0.0136432115131126	0.0564419047510362	0.0391714486895254	0.0463426887976794	-0.0153437902071426	-0.0548794652438482	-0.0572834514197867
"LUZP1"	"LUZP1"	"grey"	"grey"	0.042059790809108	0.0522358537807007	0.0281359649723553	0.0232717108056228	0.0242711303556245	0.0639282893992313	0.0524187007502399	0.0409158156527781	0.0257178596038236
"LINC01355"	"LINC01355"	"grey"	"grey"	0.023476231195361	0.0556624499432713	0.0234168610044846	0.0683177075582302	0.0738052745592678	0.0867901814693638	0.0158203377726255	0.0215516996319802	0.0139793713110077
"HNRNPR"	"HNRNPR"	"grey"	"grey"	0.0867238570920056	0.136156411815102	0.00624894834952922	0.0484814118702608	0.0416484713244313	0.127302322172105	0.115597332545596	0.0501897568125	0.0438117928831326
"RPL11"	"RPL11"	"grey"	"grey"	0.022555159796105	-0.030887301567688	-0.063940259867968	-0.0612804281977676	-0.102718312549937	-0.00684278338431647	0.0162608359852266	-0.0371323098912096	-0.0259207745247284
"ELOA-AS1"	"ELOA-AS1"	"grey"	"grey"	0.0320833469612798	0.0408352370109814	-0.00591664915639046	0.0384202841991983	0.000166076478290276	0.0495375862506775	0.0549899481618616	-3.98133526293605e-05	0.0164559629028831
"ELOA"	"ELOA"	"grey"	"grey"	0.0340712909869867	0.0320345259083606	-0.00851708688045563	-0.00125735447548387	-0.00396543589839283	0.11633461732393	0.0914062862728286	0.0393932553822705	0.045041055212432
"PITHD1"	"PITHD1"	"grey"	"grey"	0.056959258257658	0.0417557715824793	-0.00618278596390056	-0.0123398725720754	-0.064433049592964	0.0704728131028341	0.0985279050429255	-0.00685374586759342	0.0131917243160733
"HMGCL"	"HMGCL"	"grey"	"grey"	0.0166282233824326	0.0200283448664699	-0.0173816280651997	0.00617711266692714	-0.0266719132358779	0.0755692687045519	0.0983371984350466	0.0233616963883904	0.0341565972424238
"PNRC2"	"PNRC2"	"grey"	"grey"	0.0203445640713077	0.0326864796361754	0.027044472393353	0.0204170433196592	0.0337948176453933	0.00423108935642941	0.021287813340619	0.0332513393932982	0.00455336181522856
"SRSF10"	"SRSF10"	"grey"	"grey"	0.102449299438403	0.126154044423741	0.00295836771192909	0.0326666084394849	0.00862717596700529	0.0780878814261419	0.133043566049875	0.0400256784931492	0.0378347621862482
"IFNLR1"	"IFNLR1"	"grey"	"grey"	0.0333267346690768	0.0287004748339929	0.0144199477010363	-0.00708815310838324	-0.0108432017237757	0.186782197921742	0.112941210883086	0.0504415927887939	0.0451513384945993
"STPG1"	"STPG1"	"grey"	"grey"	0.0415017463252944	0.0352001009312984	0.0272562214847035	0.0183373626872417	0.031507931789799	0.000187918810191878	0.00501101410462188	0.0211074409005875	0.00621288051867817
"NIPAL3"	"NIPAL3"	"grey"	"grey"	0.0424508398335408	0.0636900300894696	0.00582676853089511	0.050551315134858	0.034967023763697	0.0493214272719082	0.0641375032373167	0.0462327003629466	0.0415641643246353
"RCAN3AS"	"RCAN3AS"	"grey"	"grey"	0.0852971840459579	0.0614356717060248	-0.00157375164463263	0.0287146819521011	-0.0359570070960684	-0.024885644025501	0.0478609184532292	0.00463443574254927	-0.00675831422521099
"RCAN3"	"RCAN3"	"grey"	"grey"	0.159559188813346	0.134226153092773	-0.0127221381360418	0.0453244791929369	-0.068113559195786	-0.0274345940549409	0.163110152275437	0.0217827307839671	0.0478660349579938
"SRRM1"	"SRRM1"	"turquoise"	"turquoise"	0.0926777878065729	0.0912398774020325	-0.0264592610736065	0.023533970614942	-0.0507538306086249	0.167402166877195	0.186247717178999	0.0424296573119997	0.0562586957692051
"CLIC4"	"CLIC4"	"grey"	"grey"	0.0166798500929044	0.00876527107619415	-0.0200857401839162	-0.0199762662809345	0.0224410160730867	0.11688907905899	0.020045046342654	0.0030108235461026	-0.0178088545112562
