"module"	"tf"	"color"	"odds_ratio"	"pval"	"fdr"	"Significance"	"Jaccard"	"size_intersection"
"NKX2-8"	"yellow"	"NKX2-8"	"yellow"	1.54703014659452	0.0394353642541635	0.0537452052680629	""	0.00668799069496947	23
"NKX6-1"	"yellow"	"NKX6-1"	"yellow"	1.09473524145597	0.408483584172861	0.440916988667685	" "	0.00489556135770235	15
"NKX6-2"	"yellow"	"NKX6-2"	"yellow"	0.693471346643855	0.902846035882997	0.91391026443471	" "	0.0032071840923669	10
"Nr2e1"	"yellow"	"Nr2e1"	"yellow"	1.42665088049971	0.0478493984192659	0.063870545686911	""	0.00622204938751701	32
"Nr2f6"	"yellow"	"Nr2f6"	"yellow"	2.02189441124956	0.000205840997580382	0.000459237036844754	"***"	0.00824873096446701	39
"OLIG2"	"yellow"	"OLIG2"	"yellow"	0.125306063165681	0.999602915556039	1	" "	0.000561797752808989	1
"PAX4"	"yellow"	"PAX4"	"yellow"	0.927532993506247	0.629757378648152	0.655114526019203	" "	0.00400228702115495	7
"PAX7"	"yellow"	"PAX7"	"yellow"	0.590645887949367	0.935144450923728	0.942249212073748	" "	0.00266548200799645	6
"POU4F2"	"yellow"	"POU4F2"	"yellow"	1.99960282252418	6.29170302339045e-05	0.000153762832283351	"***"	0.00795291872117067	50
"Rxra"	"yellow"	"Rxra"	"yellow"	1.6242705300455	0.0137205888399435	0.0208946264451935	"*"	0.00695249130938586	30
"SP4"	"yellow"	"SP4"	"yellow"	3.27609267957908	1.88017672597143e-14	1.65989566576886e-13	"***"	0.00983499071139766	90
"SPDEF"	"yellow"	"SPDEF"	"yellow"	1.8516511073988	0.0232032150146174	0.0335457333350863	"*"	0.0077319587628866	15
"SPIC"	"yellow"	"SPIC"	"yellow"	1.67577510962291	0.00224950438948804	0.00408055993813515	"**"	0.00693541395752059	48
"SRF"	"yellow"	"SRF"	"yellow"	1.83724752736474	0.024554490264669	0.0353366766094875	"*"	0.00768049155145929	15
"TBXT"	"yellow"	"TBXT"	"yellow"	2.03877090524334	0.0135987333276562	0.0207457158740931	"*"	0.00836820083682008	14
"TBX2"	"yellow"	"TBX2"	"yellow"	1.697446333556	0.00819256740826643	0.0131610342644775	"*"	0.00721847930702599	30
"TBX20"	"yellow"	"TBX20"	"yellow"	2.00903705899272	0.000409682211478419	0.000861516362968006	"***"	0.00827227605766958	35
"TBX21"	"yellow"	"TBX21"	"yellow"	2.14603752679597	0.000113193987707249	0.000264918321034063	"***"	0.00873362445414847	36
"TFAP4"	"yellow"	"TFAP4"	"yellow"	1.90268563954927	0.00385370429092896	0.00663557622858166	"**"	0.00799744081893794	25
"TFCP2"	"yellow"	"TFCP2"	"yellow"	2.8496285133107	0.000380254276352147	0.000803312396909597	"***"	0.0112359550561798	16
"TFEB"	"yellow"	"TFEB"	"yellow"	1.69636173372156	0.0380669163717618	0.0521660980267909	""	0.00718778077268643	16
"ZBTB7B"	"yellow"	"ZBTB7B"	"yellow"	2.35063229581639	0.000199790491421626	0.000446740222107256	"***"	0.00960472848171407	26
"ZBTB7C"	"yellow"	"ZBTB7C"	"yellow"	2.27894166135335	0.0001295764162106	0.000299617222760503	"***"	0.00930232558139535	30
"ZIC1"	"yellow"	"ZIC1"	"yellow"	3.35728889907958	6.23382634675028e-12	4.25669057636221e-11	"***"	0.0118997912317328	57
"ZIC3"	"yellow"	"ZIC3"	"yellow"	3.97036671921385	1.02338962449786e-15	1.01963093138618e-14	"***"	0.0132505175983437	64
"ZBTB18"	"yellow"	"ZBTB18"	"yellow"	1.7735358242214	0.00140272925035748	0.0026466924331753	"**"	0.0073490813648294	42
"LBX2"	"yellow"	"LBX2"	"yellow"	1.1370054636995	0.377399491112846	0.410482989422538	" "	0.00499583680266445	12
"Lhx4"	"yellow"	"Lhx4"	"yellow"	1.05503129379546	0.47663579377274	0.507823894426676	" "	0.00465313028764805	11
"Lhx8"	"yellow"	"Lhx8"	"yellow"	1.51334443513998	0.0972113208405871	0.121077233048255	" "	0.00646651270207852	14
"MEOX2"	"yellow"	"MEOX2"	"yellow"	1.71814280388797	0.0107483199517493	0.0167658059257815	"*"	0.00731775963974106	26
"MNX1"	"yellow"	"MNX1"	"yellow"	1.45333845708439	0.0441982965801296	0.0595967993651635	""	0.00632777894958869	30
"MSX2"	"yellow"	"MSX2"	"yellow"	0.900708735494896	0.666387662946517	0.689852831303523	" "	0.00399290150842946	9
"Msx3"	"yellow"	"Msx3"	"yellow"	1.40237036029654	0.137256527871967	0.164984281639456	" "	0.00607287449392713	15
